Date,CPIAUCSL
1/1/2021,262.639
2/1/2021,263.573
3/1/2021,264.847
4/1/2021,266.625
5/1/2021,268.404
6/1/2021,270.71
7/1/2021,271.965
8/1/2021,272.752
9/1/2021,273.942
10/1/2021,276.528
11/1/2021,278.824
12/1/2021,280.806
1/1/2022,282.542
2/1/2022,284.525
3/1/2022,287.467
4/1/2022,288.582
5/1/2022,291.299
6/1/2022,295.072
7/1/2022,294.94
8/1/2022,295.162
9/1/2022,296.421
10/1/2022,297.979
11/1/2022,298.708
12/1/2022,298.808
1/1/2023,300.456
2/1/2023,301.476
3/1/2023,301.643
4/1/2023,302.858
5/1/2023,303.316
6/1/2023,304.099
7/1/2023,304.615
8/1/2023,306.138
9/1/2023,307.374
10/1/2023,307.653
11/1/2023,308.087
12/1/2023,308.735
1/1/2024,309.794
2/1/2024,311.022
3/1/2024,312.107
4/1/2024,313.016
5/1/2024,313.14
6/1/2024,313.131
7/1/2024,313.566
8/1/2024,314.131
9/1/2024,314.851
10/1/2024,315.564
11/1/2024,316.449
12/1/2024,317.603
1/1/2025,319.086
2/1/2025,319.775
